epoch,loss,accuracy,val_loss,val_accuracy
1,2.258518085916382,0.30946930280957335,2.1992899819934473,0.30493707647628265
2,1.7128411151243919,0.49427679500520294,1.9309929375034565,0.4186834462729913
3,1.4385789837475003,0.5908428720083246,1.6764133018076361,0.5091965150048403
4,1.1830997258889935,0.6609781477627471,1.4189562599056573,0.5696999031945789
5,0.977801145388358,0.7194588969823101,1.2366838497898585,0.6161665053242982
6,0.8263991015510678,0.7608740894901145,1.0812048464292248,0.6597289448209099
7,0.6959655269499748,0.795213319458897,0.9560010742471848,0.6931268151016456
8,0.5937372545545977,0.8222684703433923,0.8505050051246931,0.7313649564375605
9,0.5169021255205871,0.8497398543184184,0.792752246485098,0.7458857696030978
10,0.4571166470197187,0.8586888657648283,0.7716816517759731,0.7565343659244917
11,0.4093967651849483,0.8734651404786681,0.7002831416462421,0.7802516940948693
12,0.3647963144652677,0.8936524453694069,0.6720647033509535,0.7894482090997096
13,0.32763144007334477,0.9034339229968783,0.6462023434195837,0.797676669893514
14,0.3089106022629356,0.9069719042663892,0.5913997151152324,0.8170377541142304
15,0.28165285767547393,0.9204994797086369,0.576387591191206,0.8213939980638916
16,0.25231341514329386,0.9246618106139438,0.5854316761740641,0.8199419167473379
17,0.23980632372874996,0.9275754422476586,0.5705397803000998,0.8325266214908035
18,0.22645807699566856,0.9350676378772113,0.5220320160714378,0.8431752178121975
19,0.2124392570925801,0.9388137356919876,0.5287543108825646,0.8397870280735721
20,0.20750454849874625,0.9386056191467221,0.5184490577410636,0.8426911907066795
